text,created_at,n_words,party,bias-1,positive-1,figurative-0,offensive-1
I think @HumaAbedin should be ashamed that she didn't stand by her pervert husband like @HillaryClinton did. #StrongWomen,2016-08-30 14:41:22,6,Dem,0.26574525237083435,0.008380343,0.4621389210224152,0.8876240253448486
@HillaryClinton @Comeridethwhale so are you! trump &amp; your stupid ass are different sides of the same coin,2016-08-30 14:41:28,7,Dem,0.07977093011140822,5.8598023e-05,0.7760881781578064,0.8628647327423096
"@BrinckJeff @POTUS @BarackObama What money is Obama using to bring refugees here ??? How much ??? PROVIDE EVIDENCE, PROOF and TRUTH !!!",2016-08-30 14:41:31,10,Dem,0.27450162172317505,0.0027011118,0.480222761631012,0.3224125504493713
"August most violent month in Chicago in nearly 20 years 

@potus @LorettaLynch @HillaryClinton All Silent....

https://t.co/gKQM6DTnmh",2016-08-30 14:41:32,8,Dem,0.2021978050470352,0.00014913383,0.9759221076965332,0.3653779327869415
@HillaryClinton https://t.co/pgck0ifrzC atleast @realDonaldTrump doesn't hide like a coward with a guilty conscience,2016-08-30 14:41:33,6,Dem,0.19997568428516388,0.0010653103,0.597558856010437,0.9716525673866272
"Working people: @HillaryClinton, not @realDonaldTrump, is the clear choice for president: https://t.co/ToMsaHGJ4f via @AFLCIO #p2 #1uvote",2016-08-30 14:41:33,7,Dem,0.5055178999900818,0.021389758,0.6693234443664551,0.0026565669104456897
"@FoxNews no, @JohnKerry the media needs 2 stop covering u &amp; ur inane comments. 1st @HillaryClinton &amp; now u, difficult 2 decide which 1 worse",2016-08-30 14:41:34,18,Dem,0.1617208570241928,0.054704137,0.772586464881897,0.5422316193580627
#NYTimes getting a quote from #Trump on how #Weiner divorce is impacting #HillaryClinton presidency shows their paper is now a tabloid,2016-08-30 14:41:36,8,Dem,0.2123384028673172,0.30995578,0.27227836847305303,0.17034707963466644
@BarackObama has no problem saying that police are the problem but can't even muster the courage to say radical islam. Pathetic leader,2016-08-30 14:41:37,13,Dem,0.14542129635810852,9.725825e-06,0.4962703287601471,0.7865183353424072
@Deathc0de @JamesPMorrison @HillaryClinton sure he was! @BernieSanders filed as a conscientious objector @billclinton nevr did played system,2016-08-30 14:41:37,7,Dem,0.10122191905975343,0.12784201,0.1500539779663086,0.06488681584596634
@craigmelvin Is it a crime now for @HillaryClinton to raise money for her campaign and Democrat party? Check connection on #Trump &amp; Russia!,2016-08-30 14:41:37,10,Dem,0.15306702256202698,0.0003259354,0.8377091288566589,0.2788423001766205
@Reince @HillaryClinton SO why do YOU care? Keep your FLIP FLOPPER on message! and stop worrying about Hillary I get it your man is loosing,2016-08-30 14:41:38,11,Dem,0.18994565308094025,0.0017002975,0.6041818261146545,0.2483259588479996
"@sarahleahwolfe @finkd @MSNBC @HillaryClinton Well, she had him in the barricaded apartment while shooting at cops. Mother of the year.",2016-08-30 14:41:40,7,Dem,0.1045512929558754,0.01747634,0.23209963738918304,0.2661818861961365
Won't help her really. If @SenSanders begged me personally to vote 4 her I would say we need a total system reboot https://t.co/FWyIQXSazI,2016-08-30 14:41:41,12,Nothing,0.187365397810936,0.046921637,0.2537103891372681,0.2953501045703888
.@HillaryClinton We need federal laws for severe animal abuse &amp; it should be a felony. https://t.co/NL3Hbo6wIE … https://t.co/646dcvIm3y,2016-08-30 14:41:41,8,Dem,0.034196637570857995,0.0014252525,0.844182550907135,0.6239492297172546
Example of one of (many) reasons Portman continues to lead Strickland by healthy margin. https://t.co/s5U4hP3mmp,2016-08-30 14:41:42,10,Nothing,0.3304120004177093,0.002915187,0.841770350933075,0.1437542885541916
@realDonaldTrump see even he saying the media and journalist lie about shit and it true https://t.co/HhO5Dh4ujW,2017-02-17 08:46:52,8,Rep,0.5129967331886292,0.0006636951,0.5355126857757568,0.9460242390632628
"@ChicagoMGD @realDonaldTrump 
Haha he lives in a world where if he's accusing someone of something sure as shit HE'S guilty of it",2017-02-17 08:48:36,9,Rep,0.2215583324432373,0.022735517,0.2811628878116608,0.9316383004188538
"Accidentally stumbled upon a 'popping' vid, the stuff coming out of the pimple was more articulate than @realDonaldTrump was today",2017-02-17 08:48:53,10,Rep,0.21372227370738986,0.0028762864,0.7272176146507263,0.04479755088686943
@realDonaldTrump I hope your tax plan roll out is a plan to roll out your tax returns. Oh burn! Like your face looks burned w bad orange,2017-02-17 08:49:05,17,Rep,0.4262826442718506,3.7686586e-06,0.12674809992313385,0.7534144520759583
